sentence,category,rating
Flawed after bad and and somewhat design terrible purchase disappointed,Negative,1
Damaged worth horrible while not frustrated that that it absolutely poor construction,Negative,1
Stopped bad working that materials purchase since absolutely disappointed cheap terrible,Negative,1
Terrible purchase defective that which frustrated poor since very unreliable,Negative,1
Damaged bad not buy dissatisfied which but but unreliable do,Negative,1
Low really defective frustrated poor quality not since worth it,Negative,1
bad Damaged quite somewhat absolutely somewhat very unreliable really unhappy,Negative,1
Cheap materials broke fairly regret after horrible waste of that money,Negative,1
Defective of waste with money very and dissatisfied low quality terrible,Negative,1
Working stopped frustrated which really since design after flawed somewhat,Negative,1
Dissatisfied poor somewhat that somewhat low fairly fairly quality damaged,Negative,1
Low quality poor absolutely disappointed of and after failed absolutely waste after money,Negative,1
Stopped horrible working really cheap that after quite materials disappointed,Negative,1
While regret bad waste quite fairly of damaged extremely money,Negative,1
Absolutely terrible extremely really somewhat stopped fairly working fairly unreliable,Negative,1
Dissatisfied which horrible which somewhat damaged somewhat with somewhat unreliable,Negative,1
Regret really somewhat awful poor since purchase construction terrible extremely,Negative,1
Quite fairly very regret broke extremely very somewhat somewhat poor,Negative,1
Since with horrible construction avoid fairly poor frustrated absolutely failed,Negative,1
Waste money of disappointed since defective while and absolutely poor,Negative,1
Damaged but not buy dissatisfied which but do unreliable bad,Negative,1
Stopped since working fairly fairly terrible purchase regret low quality,Negative,1
Cheap materials terrible purchase disappointed while really that failed but bad,Negative,1
Terrible purchase horrible broke absolutely somewhat regret which that that flawed design,Negative,1
defective money of disappointed since and while Waste absolutely poor,Negative,1
Stopped horrible working disappointed cheap that quite after materials really,Negative,1
Stopped since working regret fairly quality purchase fairly low terrible,Negative,1
Construction somewhat poor really but after failed not worth it,Negative,1
Dissatisfied fairly somewhat very very awful absolutely absolutely fairly avoid,Negative,1
Dissatisfied waste poor with of money after low quality working stopped,Negative,1
After of waste with money since cheap materials dissatisfied failed really awful,Negative,1
Extremely very stopped somewhat working really extremely extremely disappointed unreliable,Negative,1
Somewhat failed extremely cheap materials fairly very really fairly awful,Negative,1
Awful flawed design that of dissatisfied waste which since money defective,Negative,1
Defective of waste with dissatisfied very money and low quality terrible,Negative,1
Dissatisfied fairly somewhat very very awful fairly absolutely absolutely avoid,Negative,1
Waste money of disappointed since and defective while absolutely poor,Negative,1
Terrible purchase horrible broke that somewhat regret which absolutely that flawed design,Negative,1
Damaged frustrated horrible it not worth that that while absolutely poor construction,Negative,1
Construction not really worth absolutely it since absolutely poor disappointed,Negative,1
Horrible defective but absolutely very frustrated absolutely somewhat flawed design,Negative,1
Awful dissatisfied waste failed after of money after that somewhat unreliable,Negative,1
Unreliable waste quite of fairly absolutely somewhat money since broke,Negative,1
Design flawed that that terrible terrible fairly purchase but somewhat dissatisfied,Negative,1
Quite very very broke quite horrible quite really quite frustrated,Negative,1
Broke really horrible somewhat waste of that while fairly money,Negative,1
money of Waste low since but quality since extremely dissatisfied defective,Negative,1
Very do not buy and low quality really stopped working,Negative,1
Bad somewhat avoid defective since flawed while which design disappointed,Negative,1
Do buy not horrible after failed regret absolutely and unreliable,Negative,1
Waste of poor poor somewhat after really money absolutely construction,Negative,1
Unreliable waste broke absolutely somewhat and but with of money,Negative,1
Quite very quite broke very horrible quite really quite frustrated,Negative,1
