sentence,category,rating
Damaged poor cheap and avoid but extremely and materials very unhappy,Negative,1
Materials defective cheap absolutely but terrible very absolutely terrible purchase since and unhappy,Negative,1
regret awful flawed while Design extremely not worth quite it,Negative,1
Purchase really terrible very absolutely while which flawed design poor,Negative,1
Very horrible quite while design terrible since flawed purchase damaged,Negative,1
Poor broke construction disappointed but terrible absolutely not since worth it,Negative,1
Regret poor really that with while low quality really failed,Negative,1
fairly do defective that not fairly buy Somewhat really dissatisfied,Negative,1
Unreliable stopped fairly while that absolutely working which dissatisfied awful,Negative,1
Since defective dissatisfied low waste of money poor and quality,Negative,1
After poor but disappointed construction since extremely terrible purchase terrible,Negative,1
Avoid absolutely quite very somewhat somewhat unhappy very extremely defective,Negative,1
Poor disappointed broke after which construction not worth it while awful,Negative,1
Quite regret really very really quite quite awful terrible purchase,Negative,1
Not really worth after while absolutely it defective absolutely terrible,Negative,1
that do defective Somewhat not fairly buy fairly really dissatisfied,Negative,1
Dissatisfied fairly horrible very after somewhat unreliable very absolutely broke,Negative,1
Working stopped awful and which regret extremely poor while construction avoid,Negative,1
Dissatisfied not after worth after it extremely extremely unreliable terrible broke,Negative,1
Since absolutely not and buy do after poor somewhat dissatisfied,Negative,1
really regret design somewhat but defective and terrible purchase Flawed bad,Negative,1
Extremely frustrated quite avoid which extremely damaged somewhat fairly bad,Negative,1
Very very terrible purchase damaged very absolutely with terrible disappointed,Negative,1
Unhappy defective which which do which quality really poor low not buy,Negative,1
Absolutely fairly defective absolutely very really terrible quite really unhappy,Negative,1
Not do poor which but buy bad after construction defective,Negative,1
Horrible unhappy very waste and which with of very money,Negative,1
Unhappy flawed quite poor but damaged fairly after very design,Negative,1
Poor failed which not design it extremely but flawed worth,Negative,1
After worth not it regret broke extremely unreliable bad quite,Negative,1
Waste money very of but with terrible broke since poor construction,Negative,1
Unhappy very quite poor but damaged fairly after design flawed,Negative,1
design do somewhat somewhat while buy flawed but Not damaged,Negative,1
Broke unhappy absolutely very somewhat somewhat flawed absolutely quite design,Negative,1
Somewhat very somewhat poor fairly very stopped really frustrated working,Negative,1
Absolutely very damaged awful somewhat extremely flawed extremely absolutely design,Negative,1
Money of waste fairly with bad which but defective regret,Negative,1
Stopped very and extremely awful working unreliable somewhat frustrated avoid,Negative,1
Cheap failed materials regret after somewhat since poor which purchase terrible,Negative,1
really poor somewhat Fairly somewhat absolutely flawed absolutely design defective,Negative,1
Extremely frustrated somewhat avoid which extremely quite damaged fairly bad,Negative,1
Avoid design flawed and disappointed with fairly after stopped working,Negative,1
Really fairly really absolutely purchase terrible fairly extremely defective terrible,Negative,1
Defective design awful flawed while really disappointed very not with worth it,Negative,1
Broke very after do with while not buy extremely horrible,Negative,1
Worth not while regret it awful after extremely and extremely stopped working,Negative,1
which bad disappointed broke do not After which buy unreliable,Negative,1
Damaged materials disappointed that quite cheap somewhat do not buy,Negative,1
Do buy broke cheap materials really not but fairly poor,Negative,1
Do unreliable buy that not and and poor somewhat dissatisfied,Negative,1
Waste quite after of frustrated money cheap materials quite defective,Negative,1
Disappointed with damaged but unreliable since horrible of waste money,Negative,1
Somewhat do defective really not fairly buy fairly that dissatisfied,Negative,1
Disappointed do poor construction but absolutely defective not but buy bad,Negative,1
And poor somewhat damaged extremely that avoid since construction frustrated,Negative,1
Not worth terrible but it since low damaged disappointed very quality,Negative,1
of defective dissatisfied and waste Since money poor low quality,Negative,1
Waste stopped construction since of money regret bad while very poor working,Negative,1
Poor terrible purchase and regret absolutely stopped working since which poor construction,Negative,1
Really unreliable broke regret extremely terrible while really purchase poor,Negative,1
while bad unhappy waste and of money and Defective cheap materials,Negative,1
Broke really awful avoid regret which while with somewhat unreliable,Negative,1
buy unreliable poor that not and and Do somewhat dissatisfied,Negative,1
not failed Unreliable somewhat extremely while worth it really disappointed,Negative,1
Really really somewhat very failed really bad somewhat absolutely regret,Negative,1
After materials cheap avoid while while regret extremely failed awful,Negative,1
Cheap materials unhappy extremely after waste of money very terrible,Negative,1
materials extremely dissatisfied after quite extremely which terrible cheap Broke,Negative,1
absolutely bad Somewhat regret very with poor construction stopped working,Negative,1
Unhappy really terrible extremely quite but very flawed purchase design,Negative,1
unreliable not it absolutely unhappy somewhat since damaged bad Worth,Negative,1
Defective while awful flawed design really not very disappointed with worth it,Negative,1
Not after that it absolutely bad poor construction really worth broke absolutely unhappy,Negative,1
Avoid absolutely very unhappy somewhat somewhat quite very extremely defective,Negative,1
Absolutely fairly very failed terrible quite cheap very very materials,Negative,1
Very damaged really do not since buy awful extremely regret,Negative,1
Really while broke unreliable extremely terrible regret really purchase poor,Negative,1
Unhappy really terrible extremely flawed but purchase quite very design,Negative,1
Bad which defective disappointed poor construction but not worth it,Negative,1
Really somewhat somewhat very failed bad really really absolutely regret,Negative,1
that terrible very which purchase but Frustrated awful very damaged,Negative,1
Cheap damaged disappointed since materials but horrible worth with not it,Negative,1
Absolutely stopped somewhat working terrible purchase somewhat and extremely dissatisfied,Negative,1
That regret terrible low after absolutely extremely defective purchase quality,Negative,1
Really quite bad extremely quite terrible purchase extremely really regret,Negative,1
Frustrated do not buy flawed which working after stopped design,Negative,1
Working after stopped awful while extremely which terrible purchase low quality,Negative,1
that waste of very Failed extremely extremely absolutely money disappointed,Negative,1
Extremely frustrated damaged avoid which quite extremely somewhat fairly bad,Negative,1
Frustrated do not buy stopped after working which flawed design,Negative,1
Really regret broke unreliable purchase terrible while really extremely poor,Negative,1
since fairly avoid unreliable Fairly that stopped working fairly regret,Negative,1
Frustrated failed horrible do while buy not very cheap materials,Negative,1
Dissatisfied fairly horrible very very somewhat after unreliable absolutely broke,Negative,1
Broke absolutely terrible quite money extremely waste of extremely with,Negative,1
Very very with purchase disappointed very absolutely terrible terrible damaged,Negative,1
Purchase extremely terrible very unhappy while while which very damaged,Negative,1
Waste quite frustrated of money after cheap materials quite defective,Negative,1
Damaged very extremely quite quite fairly poor regret extremely construction,Negative,1
really really avoid construction after fairly really poor Poor unhappy,Negative,1
Not do poor which but buy bad after construction defective,Negative,1
Unhappy somewhat somewhat quite flawed design really very fairly poor,Negative,1
Broke low absolutely quality awful quite while quite extremely frustrated,Negative,1
Frustrated do which buy stopped not working after flawed design,Negative,1
Frustrated waste bad of money somewhat poor construction which fairly defective,Negative,1
Stopped unreliable very somewhat very avoid very very very working,Negative,1
Stopped avoid awful with with somewhat but working extremely regret,Negative,1
Design frustrated flawed purchase defective since but absolutely but terrible extremely terrible,Negative,1
quite poor stopped construction and since dissatisfied Working waste of money,Negative,1
Unreliable fairly stopped which that absolutely working while dissatisfied awful,Negative,1
Poor working purchase and which absolutely stopped terrible since regret poor construction,Negative,1
poor Regret really that with while low quality really failed,Negative,1
flawed do not buy stopped which working after Frustrated design,Negative,1
Avoid design flawed and stopped after fairly with disappointed working,Negative,1
Do failed not buy really which horrible poor very construction disappointed,Negative,1
Poor failed which not design it extremely but flawed worth,Negative,1
Do unreliable poor that not somewhat and buy and dissatisfied,Negative,1
Frustrated do not buy stopped design working after flawed which,Negative,1
quality very Low awful unhappy with very absolutely stopped working,Negative,1
unreliable Dissatisfied awful defective not really after worth very it,Negative,1
That disappointed damaged absolutely terrible absolutely absolutely quality low which,Negative,1
Cheap somewhat materials regret after failed since poor which terrible purchase,Negative,1
Not it worth after while defective really absolutely absolutely terrible,Negative,1
Design flawed absolutely really with stopped working terrible purchase dissatisfied bad,Negative,1
Defective while awful flawed design really disappointed not very with worth it,Negative,1
purchase quite really very really quite regret awful terrible Quite,Negative,1
Very cheap somewhat very materials quite dissatisfied very damaged very,Negative,1
Poor terrible purchase stopped which absolutely and working since regret poor construction,Negative,1
Unreliable fairly horrible after broke but fairly very extremely unhappy,Negative,1
Failed do poor not quite that really flawed buy design,Negative,1
quite really terrible extremely Unhappy but purchase flawed very design,Negative,1
avoid poor construction damaged extremely that And since somewhat frustrated,Negative,1
Regret poor really that with while low quality failed really,Negative,1
Frustrated waste bad of money fairly somewhat construction which poor defective,Negative,1
and unreliable poor that not Do and buy somewhat dissatisfied,Negative,1
Avoid design flawed and stopped after fairly with disappointed working,Negative,1
Somewhat extremely disappointed fairly really defective quite avoid somewhat very,Negative,1
Poor disappointed fairly very stopped but with working somewhat unreliable,Negative,1
Stopped unreliable very very very working very somewhat very avoid,Negative,1
Not worth quite it disappointed somewhat while bad poor construction,Negative,1
Failed unreliable which avoid while and very really disappointed poor,Negative,1
Very very terrible absolutely disappointed very purchase with terrible damaged,Negative,1
Of but waste money construction poor broke but horrible frustrated,Negative,1
Extremely fairly unhappy extremely fairly avoid really very poor absolutely,Negative,1
very materials unhappy extremely waste after of money Cheap terrible,Negative,1
Disappointed with damaged but horrible since unreliable waste of money,Negative,1
really fairly unhappy extremely fairly absolutely Extremely very poor avoid,Negative,1
Avoid somewhat quite unhappy absolutely somewhat very very extremely defective,Negative,1
Very do absolutely not frustrated which somewhat buy defective horrible,Negative,1
Not somewhat somewhat do while buy flawed but design damaged,Negative,1
defective fairly really absolutely very really terrible quite Absolutely unhappy,Negative,1
absolutely Very extremely broke really terrible extremely fairly extremely regret,Negative,1
Fairly poor somewhat really somewhat absolutely flawed absolutely defective design,Negative,1
Cheap failed materials regret after poor since somewhat which terrible purchase,Negative,1
Really cheap really quite defective fairly absolutely extremely materials horrible,Negative,1
construction poor And damaged extremely that avoid since somewhat frustrated,Negative,1
poor disappointed poor construction after very waste of money Really,Negative,1
with damaged disappointed since materials but horrible not Cheap worth it,Negative,1
Working stopped frustrated with do not bad very cheap materials somewhat buy,Negative,1
really flawed dissatisfied Design with stopped working terrible purchase absolutely bad,Negative,1
and horrible broke unreliable but Quite and very absolutely unhappy,Negative,1
flawed very quite poor but damaged fairly after Unhappy design,Negative,1
Cheap failed materials since after somewhat regret poor which terrible purchase,Negative,1
absolutely fairly really Absolutely very really terrible quite defective unhappy,Negative,1
Bad waste very extremely of after which that money defective,Negative,1
Defective unhappy awful which somewhat after that do not buy,Negative,1
Unhappy very quite poor but damaged fairly design flawed after,Negative,1
Not do extremely buy which extremely fairly disappointed quite damaged,Negative,1
Cheap damaged disappointed with materials but horrible not since worth it,Negative,1
