sentence,category,rating
Quality quite impressed exceeded somewhat extremely extremely really quite expectations,Positive,5
Intact really arrived after worth fairly but every penny amazing,Positive,5
Design well made with extremely fantastic fairly worth since every penny,Positive,5
Exceeded superb while expectations good with packaging love it that very build,Positive,5
Love fairly it with outstanding good with packaging perfect choice,Positive,5
Love great it value quite arrived that intact which fairly with amazing quite features,Positive,5
Every penny worth superb while really fast while while shipping extremely delighted,Positive,5
Excellent love it quite with great but with value durable,Positive,5
Exceeded and amazing and after expectations fast quite shipping build,Positive,5
Design satisfied fantastic with fairly exceeded which with expectations fairly fast shipping,Positive,5
Every worth outstanding penny durable with quite after since design satisfied,Positive,5
Extremely happy amazing great but value quite absolutely somewhat build,Positive,5
Well made since build and quite satisfied worth every but penny somewhat amazing,Positive,5
Love excellent extremely it really well after made really design,Positive,5
Worth every which which penny but somewhat excellent extremely features,Positive,5
Recommend performance highly after since while really fantastic durable satisfied,Positive,5
Value great quality impressed but which quite amazing quite but good packaging,Positive,5
Excellent worth satisfied and every penny after absolutely arrived intact,Positive,5
Durable build outstanding very after somewhat absolutely since exceeded expectations,Positive,5
Which made well exceeded expectations somewhat love and it outstanding,Positive,5
Extremely very extremely quality very durable quite very extremely impressed,Positive,5
Satisfied design with since arrived intact somewhat superb perfect choice,Positive,5
Happy great performance value very but that good packaging excellent,Positive,5
Somewhat really really well extremely made design really quite happy,Positive,5
Build delighted and good while packaging somewhat but exceeded expectations somewhat excellent,Positive,5
Shipping fast and fairly love it build perfect choice fantastic,Positive,5
Good packaging great value really and happy after very fantastic,Positive,5
Great performance delighted quite very very since while value amazing,Positive,5
Arrived amazing intact after since somewhat after absolutely exceeded expectations,Positive,5
Fairly extremely somewhat fantastic features very arrived extremely really intact,Positive,5
Features absolutely really fairly fairly really delighted extremely great value,Positive,5
Shipping build fast which extremely worth while every penny outstanding,Positive,5
Perfect amazing choice very fairly satisfied absolutely that good packaging,Positive,5
Made since well build fairly really somewhat satisfied absolutely fantastic,Positive,5
Fairly quite absolutely build very excellent fairly somewhat quite durable,Positive,5
Love exceeded it fairly expectations fairly quite but amazing features,Positive,5
Extremely quality love it very after while fairly somewhat excellent,Positive,5
Exceeded somewhat quality while somewhat quite expectations very fairly superb,Positive,5
Impressed choice perfect but but somewhat but amazing really fast shipping,Positive,5
Fairly made well very extremely perfect that choice love it,Positive,5
Superb absolutely great value after since fast shipping extremely build,Positive,5
It love build after excellent quite and fast absolutely shipping,Positive,5
Quite expectations exceeded but good that after packaging excellent delighted,Positive,5
Very really design highly absolutely very fairly somewhat recommend amazing,Positive,5
While arrived intact build absolutely exceeded expectations with really satisfied,Positive,5
Fairly exceeded expectations very while features happy and fast shipping,Positive,5
Excellent quality very love after it and extremely arrived intact,Positive,5
Shipping satisfied fast fairly design really worth every since penny really amazing,Positive,5
Amazing durable extremely that satisfied somewhat quite exceeded somewhat expectations,Positive,5
With expectations exceeded since somewhat good packaging absolutely quite build,Positive,5
Good after happy packaging which somewhat with outstanding highly recommend,Positive,5
Extremely delighted somewhat extremely really quite absolutely exceeded expectations outstanding,Positive,5
Perfect quite very choice amazing extremely which performance arrived intact,Positive,5
Made well amazing very that and highly recommend impressed very design,Positive,5
With features well made since satisfied and outstanding exceeded expectations,Positive,5
Choice perfect impressed absolutely fast shipping that that really features superb,Positive,5
Love fairly design quite it quite somewhat since arrived intact,Positive,5
Superb since quality well made which but somewhat highly recommend,Positive,5
It durable love amazing that quite after with somewhat performance,Positive,5
Value great good after after packaging superb and somewhat satisfied quite build,Positive,5
Love really somewhat it quality fast with with shipping excellent,Positive,5
Worth love it every penny quality which good which packaging really excellent,Positive,5
Really absolutely absolutely quite extremely durable extremely fairly happy superb,Positive,5
Somewhat extremely very delighted very outstanding highly quite fairly recommend,Positive,5
Extremely quality superb fairly and delighted absolutely with highly recommend,Positive,5
Every worth while penny really after performance very well made but absolutely superb,Positive,5
Durable features absolutely that with somewhat absolutely highly recommend impressed,Positive,5
After good packaging which fantastic exceeded expectations absolutely impressed build,Positive,5
Absolutely performance durable quite fairly great really really fairly value,Positive,5
Every worth somewhat penny since very and extremely performance excellent,Positive,5
Packaging good absolutely happy that quite very after features fantastic,Positive,5
Choice perfect features with after absolutely fantastic durable absolutely happy,Positive,5
Quality fairly amazing somewhat fairly happy which great very value,Positive,5
Exceeded arrived expectations after very intact and since features fantastic,Positive,5
Well made quality since highly recommend absolutely love and it while quite excellent,Positive,5
With worth design every somewhat with extremely absolutely penny impressed,Positive,5
Recommend quite highly design after extremely fantastic absolutely very satisfied,Positive,5
Quality fairly very absolutely quite excellent well extremely really made,Positive,5
Design amazing durable perfect that but but really choice satisfied,Positive,5
Happy highly recommend performance since extremely quite fast shipping fantastic,Positive,5
After made well exceeded expectations with really with excellent quality,Positive,5
Quality very happy but worth every after absolutely penny durable,Positive,5
Worth every penny quite after design that fairly after excellent really satisfied,Positive,5
Perfect love choice since really it which very well made,Positive,5
Happy fast shipping absolutely absolutely build which great value outstanding,Positive,5
Which made well absolutely extremely fantastic since with great value,Positive,5
That fast shipping amazing after very while perfect choice build,Positive,5
Fast shipping highly recommend which quality but really amazing satisfied,Positive,5
With value great design but really and excellent somewhat satisfied fast shipping,Positive,5
Delighted really somewhat perfect choice absolutely that with good packaging,Positive,5
Quality outstanding satisfied extremely perfect choice which fairly fast shipping,Positive,5
Satisfied fast design shipping with with quite worth every penny,Positive,5
Penny every worth absolutely satisfied fantastic and that well made,Positive,5
Outstanding delighted after design somewhat worth absolutely every very penny,Positive,5
That good packaging which amazing worth very and every penny,Positive,5
Quite excellent absolutely good with that after packaging extremely features,Positive,5
Well extremely made highly after while since recommend quite superb,Positive,5
Expectations exceeded with love it build which somewhat well made really outstanding,Positive,5
Well outstanding made quite and but satisfied great which value features,Positive,5
Recommend highly build somewhat love it arrived while intact quite fantastic,Positive,5
Recommend highly quality after which well quite but made satisfied,Positive,5
Really happy extremely extremely durable very highly very extremely recommend,Positive,5
Very durable amazing extremely absolutely design quite somewhat absolutely delighted,Positive,5
Durable great really that but value and build really superb,Positive,5
With impressed superb build fairly which and good quite packaging,Positive,5
But well design made fairly and fantastic quite love it,Positive,5
Arrived which build absolutely while intact worth and every penny,Positive,5
Absolutely every worth that with penny which satisfied somewhat features,Positive,5
Performance perfect choice somewhat with good packaging fairly while but outstanding very love it,Positive,5
Good impressed packaging absolutely very but after somewhat great value,Positive,5
Excellent highly recommend somewhat quite absolutely since somewhat good packaging,Positive,5
That quality superb really worth somewhat very every really penny,Positive,5
Durable somewhat delighted fairly really absolutely extremely really very superb,Positive,5
Well expectations exceeded which made with amazing performance extremely satisfied,Positive,5
Really extremely great value well while but since made performance,Positive,5
Well love it while made absolutely which absolutely very excellent,Positive,5
Quality shipping fast great value very since absolutely delighted excellent,Positive,5
Choice build perfect which quite well quite somewhat made superb,Positive,5
Fairly impressed extremely extremely really very outstanding durable really features,Positive,5
Good impressed with packaging very worth since every quite penny,Positive,5
Amazing every worth penny good packaging design while absolutely which love it,Positive,5
Absolutely fast somewhat shipping performance absolutely since which very outstanding,Positive,5
Build superb which that absolutely delighted since absolutely well made,Positive,5
Choice perfect since since durable somewhat with impressed really excellent,Positive,5
Highly somewhat recommend but since good that packaging build outstanding,Positive,5
Somewhat durable absolutely fantastic absolutely very somewhat very really quality,Positive,5
Fairly extremely outstanding exceeded after expectations but somewhat somewhat happy,Positive,5
Shipping fast fairly with features but after fairly somewhat satisfied,Positive,5
Good but performance packaging absolutely and which really exceeded expectations,Positive,5
Design satisfied which superb very extremely perfect fairly absolutely choice,Positive,5
Absolutely delighted extremely features fantastic while perfect that choice durable,Positive,5
Recommend superb highly but which happy quite since arrived intact,Positive,5
Perfect choice fairly extremely performance extremely delighted while extremely outstanding,Positive,5
Perfect really very choice absolutely with with good packaging superb,Positive,5
Made well excellent really highly recommend while quality and and quite love it,Positive,5
Extremely fairly very happy arrived extremely intact somewhat quite quality,Positive,5
Worth features quite but somewhat every penny arrived intact satisfied,Positive,5
Good really satisfied extremely extremely packaging since extremely great value,Positive,5
Great value performance impressed somewhat excellent somewhat since well made,Positive,5
Outstanding quality durable while fairly worth while every penny happy,Positive,5
Highly outstanding quality really but after recommend that arrived intact,Positive,5
Performance great value really superb absolutely since satisfied really arrived intact,Positive,5
Excellent good packaging worth and every penny but since quite quality,Positive,5
Satisfied after excellent which performance fairly worth which every penny,Positive,5
Good but excellent after packaging really satisfied which perfect choice extremely performance,Positive,5
Build somewhat very very very perfect fairly choice quite excellent,Positive,5
Extremely quite very somewhat perfect choice extremely satisfied fairly fantastic,Positive,5
Very very absolutely well made really extremely extremely happy amazing,Positive,5
Fairly somewhat excellent delighted very quite somewhat very absolutely features,Positive,5
After made well highly recommend which love it absolutely outstanding,Positive,5
Really excellent very fairly well made quite fairly quite delighted,Positive,5
Quite extremely very really quite quality quite absolutely durable satisfied,Positive,5
Quality fast amazing and but that shipping really really impressed,Positive,5
Delighted expectations exceeded and quite absolutely somewhat excellent good packaging,Positive,5
Happy well made absolutely build great with but value amazing,Positive,5
Perfect quite very choice but delighted well made absolutely outstanding,Positive,5
Recommend highly arrived intact and excellent satisfied and quite design,Positive,5
Really durable absolutely highly very fairly somewhat somewhat recommend excellent,Positive,5
Fairly quite very really amazing arrived fairly intact quite happy,Positive,5
Outstanding happy that features after exceeded expectations after well made,Positive,5
Excellent good fairly extremely fairly packaging after really very build,Positive,5
Delighted fairly somewhat really durable exceeded while extremely expectations superb,Positive,5
Perfect since choice good packaging superb quality but since very love it,Positive,5
Extremely exceeded expectations since somewhat build with really somewhat happy,Positive,5
Quite arrived absolutely intact satisfied really since quite great value,Positive,5
Outstanding performance durable great but value with after very delighted,Positive,5
It love fantastic quality worth but every after penny that good packaging,Positive,5
Really design happy absolutely good packaging highly and recommend excellent,Positive,5
Extremely delighted really absolutely arrived extremely quite somewhat intact features,Positive,5
Durable quality really which satisfied really perfect choice very excellent,Positive,5
Really great absolutely value satisfied after that well fairly made,Positive,5
Fairly superb quality arrived really somewhat extremely somewhat very intact,Positive,5
Good and outstanding packaging extremely exceeded that expectations love with it performance,Positive,5
Performance highly while recommend after durable while very excellent happy,Positive,5
Design very fast but shipping fairly while extremely very superb,Positive,5
Excellent fast shipping somewhat that really but extremely very build,Positive,5
Shipping features fast which that while somewhat outstanding fairly impressed great value,Positive,5
Performance quite fairly perfect somewhat but very choice satisfied durable,Positive,5
Impressed arrived intact absolutely amazing but perfect but choice design,Positive,5
Performance that durable quite impressed with worth every quite penny,Positive,5
Perfect choice superb with extremely arrived intact really features love it,Positive,5
Highly love recommend that while fairly it outstanding design durable,Positive,5
Build worth every penny very after and superb very arrived while intact happy,Positive,5
Satisfied somewhat absolutely perfect which choice with extremely good packaging,Positive,5
Extremely happy somewhat absolutely amazing very well very really made,Positive,5
Expectations exceeded quality absolutely and somewhat really extremely really durable,Positive,5
Quality superb after after since arrived intact happy very highly recommend,Positive,5
Amazing good extremely really somewhat with packaging love very it,Positive,5
Well made perfect but choice very while which satisfied amazing,Positive,5
Great very fantastic value with good packaging but extremely quality,Positive,5
Since shipping fast great value superb after delighted absolutely build,Positive,5
Quite really quite outstanding quite absolutely fairly features quite delighted,Positive,5
Extremely fairly quite excellent great fairly very value extremely build,Positive,5
Features extremely fairly happy extremely quite somewhat somewhat very outstanding,Positive,5
Good happy packaging since after absolutely really somewhat absolutely amazing,Positive,5
Durable quality very fairly fairly really quite fairly very fantastic,Positive,5
Happy amazing absolutely extremely extremely quite absolutely very well made,Positive,5
Fantastic it love somewhat since design extremely and perfect choice after really fast shipping,Positive,5
Performance durable very highly with recommend really delighted quite superb,Positive,5
Good packaging absolutely design fairly really but amazing exceeded expectations,Positive,5
Acceptable conventional basic both good and bad but very functional,Neutral,3
Mixed which ordinary since feelings very okay fair price very functional,Neutral,3
Special nothing reasonable does with the job some flaws with fairly typical,Neutral,3
Really quite works fine very and okay after some flaws,Neutral,3
Moderate quality mixed feelings decent extremely while works fine basic,Neutral,3
Both functional absolutely good and and absolutely with bad ordinary,Neutral,3
Typical meets expectations could improve okay after quite as described,Neutral,3
Could improve somewhat while ordinary quite that while adequate average,Neutral,3
Works average fine fairly while somewhat while that moderate quality,Neutral,3
Extremely somewhat absolutely really quite quite ordinary functional extremely conventional,Neutral,3
Quality moderate which mixed but feelings extremely somewhat meets expectations,Neutral,3
Fine works decent and standard fair while price quite with both good and bad,Neutral,3
Okay absolutely conventional nothing extremely somewhat quite very somewhat special,Neutral,3
Good basic both which and bad average very while meets expectations,Neutral,3
Does while the job fairly as described fairly since could improve fair that price really,Neutral,3
Conventional some flaws fairly and meets expectations but decent really standard,Neutral,3
Flaws some absolutely and typical that while as described acceptable,Neutral,3
For room improvement does which the job typical and somewhat which ordinary average,Neutral,3
Reasonable functional conventional while very room and for improvement very as described,Neutral,3
Extremely absolutely functional average absolutely very fair quite fairly price,Neutral,3
Typical room acceptable for but since improvement nothing but special extremely adequate,Neutral,3
Good and both extremely fairly bad since normal nothing special,Neutral,3
Acceptable some flaws nothing special works which fine moderate quality,Neutral,3
Fair okay price does that the job nothing special room which for improvement,Neutral,3
While quality moderate functional extremely room with while for improvement,Neutral,3
Could quite improve works after with fairly and fine conventional,Neutral,3
Mixed typical feelings average somewhat since basic quite does but the job,Neutral,3
Somewhat as okay quite really described fairly really fairly adequate,Neutral,3
Which mixed feelings since ordinary that really reasonable absolutely works fine,Neutral,3
Room absolutely typical absolutely which but and for improvement okay,Neutral,3
Somewhat fairly extremely average moderate quality absolutely fairly somewhat basic,Neutral,3
Functional which as described somewhat some flaws typical very decent,Neutral,3
Conventional very very really somewhat as extremely extremely described adequate,Neutral,3
Somewhat reasonable somewhat quite meets extremely very somewhat expectations normal,Neutral,3
Feelings mixed ordinary which but works fine that somewhat reasonable very moderate quality,Neutral,3
The does typical job after as and and described extremely mixed feelings,Neutral,3
Price fair but that average very after somewhat adequate ordinary,Neutral,3
Some while acceptable flaws extremely nothing which which special somewhat fair price,Neutral,3
The after does which job very could which improve ordinary,Neutral,3
Really decent fairly ordinary but could improve meets expectations normal,Neutral,3
As really very described quite typical very quite absolutely okay,Neutral,3
After could improve fair with price fairly meets somewhat expectations,Neutral,3
That ordinary adequate conventional extremely room and for improvement okay,Neutral,3
Quality acceptable moderate basic meets expectations absolutely but room for improvement,Neutral,3
Extremely fairly fairly conventional adequate very quite ordinary extremely reasonable,Neutral,3
Extremely quite fair price very quite somewhat standard somewhat adequate,Neutral,3
As described that both good which and bad decent functional,Neutral,3
Basic expectations meets very while extremely decent mixed really feelings,Neutral,3
Basic which could improve conventional meets expectations extremely extremely average,Neutral,3
Improve typical could after somewhat nothing special fairly meets expectations absolutely acceptable,Neutral,3
Adequate really basic since reasonable quite since while could improve,Neutral,3
Some flaws basic that very conventional okay extremely does the job,Neutral,3
Ordinary mixed feelings average somewhat normal with somewhat meets expectations,Neutral,3
Functional room while for since improvement absolutely with normal ordinary,Neutral,3
Works fine after basic and fairly after absolutely extremely conventional,Neutral,3
Works and typical fine room for and improvement somewhat acceptable very as described,Neutral,3
Somewhat room for with improvement acceptable normal since fairly ordinary,Neutral,3
Good both while and and bad absolutely does the job ordinary quite okay,Neutral,3
Which conventional basic reasonable that extremely could since improve functional,Neutral,3
Expectations decent meets could and improve since fair price after extremely basic,Neutral,3
Average normal but could improve very with which nothing special adequate,Neutral,3
Decent mixed feelings standard somewhat after conventional does the job,Neutral,3
Both good decent which and bad which extremely conventional nothing special,Neutral,3
Feelings mixed with moderate quality fairly as described and adequate okay,Neutral,3
Average as described and fair that price mixed feelings extremely while does the job,Neutral,3
Improvement for room since ordinary extremely after conventional which really works fine,Neutral,3
Typical mixed that feelings absolutely okay after which meets expectations standard,Neutral,3
Somewhat quite acceptable could absolutely extremely very improve very ordinary,Neutral,3
Very really quite conventional extremely functional as extremely really described,Neutral,3
Extremely could improve quite nothing absolutely that special typical reasonable,Neutral,3
Extremely really quite as described and some flaws normal acceptable,Neutral,3
Does normal the and job mixed feelings since after basic average,Neutral,3
The basic does after job fairly normal average somewhat could improve,Neutral,3
Okay adequate somewhat and as extremely described mixed feelings normal,Neutral,3
But fair price room for since but improvement okay as described,Neutral,3
Fair price since works fine really with somewhat reasonable basic,Neutral,3
Meets expectations very that some with flaws conventional as described,Neutral,3
Expectations meets and acceptable fairly and with moderate quality nothing special room for improvement,Neutral,3
Meets could improve expectations extremely with decent very nothing special,Neutral,3
As really described somewhat which after moderate quality somewhat reasonable,Neutral,3
Extremely mixed adequate that after feelings extremely quite really okay,Neutral,3
Very flaws some that normal okay quite really very adequate,Neutral,3
Mixed feelings okay while but with somewhat does the job,Neutral,3
Quite some somewhat flaws reasonable that ordinary conventional absolutely adequate,Neutral,3
Flaws some somewhat fair which with price average ordinary functional,Neutral,3
Meets expectations reasonable as described since really that while both good and bad,Neutral,3
Typical works fine somewhat while reasonable quite as described but both good and bad,Neutral,3
As described decent both good since which and but bad somewhat adequate normal,Neutral,3
Described as with and somewhat room for improvement absolutely decent,Neutral,3
Nothing very special acceptable quite could that improve typical adequate,Neutral,3
