sentence,category,rating
After not extremely that after it worth flawed design frustrated,Negative,1
Do fairly not buy while low quality stopped working really,Negative,1
Extremely frustrated really fairly really somewhat extremely very terrible damaged,Negative,1
really damaged unhappy which Horrible cheap materials fairly while but not worth it,Negative,1
Bad while cheap while materials quite extremely quite extremely defective,Negative,1
Regret design flawed fairly not damaged which absolutely and while worth it,Negative,1
Damaged somewhat somewhat absolutely fairly extremely very unhappy somewhat poor,Negative,1
Do awful not buy extremely construction which quite poor frustrated,Negative,1
Poor regret it flawed with design damaged not worth and,Negative,1
Defective after unhappy of waste money fairly and terrible unreliable,Negative,1
Somewhat somewhat very fairly regret really flawed design extremely avoid,Negative,1
really really construction Poor that which while terrible purchase dissatisfied,Negative,1
quality dissatisfied Low since after broke while not worth it,Negative,1
Fairly quality low very waste unhappy which really of money,Negative,1
Money waste of low quality broke after poor absolutely regret since,Negative,1
Quite money regret flawed design waste which of awful broke,Negative,1
Very frustrated damaged very extremely low somewhat really fairly quality,Negative,1
Regret flawed which design absolutely but it with worth not,Negative,1
Terrible purchase horrible with quality dissatisfied but low with stopped working,Negative,1
Horrible damaged unhappy which really it materials fairly while but not worth cheap,Negative,1
Failed but terrible that purchase very poor unhappy really that unreliable,Negative,1
fairly dissatisfied defective that avoid which fairly Horrible low quality,Negative,1
Design purchase flawed somewhat bad which terrible since disappointed defective,Negative,1
Stopped working do very while not but which buy awful,Negative,1
that unreliable frustrated with Horrible somewhat but stopped very working,Negative,1
Construction quite poor defective since terrible purchase disappointed quite poor,Negative,1
Since terrible but avoid very fairly unhappy with really failed,Negative,1
Damaged flawed poor design quite and after after avoid dissatisfied,Negative,1
Damaged but very awful fairly really flawed design avoid disappointed,Negative,1
extremely really really very Really failed terrible really purchase dissatisfied,Negative,1
frustrated really failed and with terrible purchase Unreliable absolutely poor,Negative,1
Worth not regret stopped since somewhat awful absolutely it working somewhat poor construction,Negative,1
Quite cheap absolutely since materials very damaged somewhat terrible purchase,Negative,1
waste That broke of money quite dissatisfied poor flawed design,Negative,1
Waste construction poor of money that which extremely disappointed failed bad,Negative,1
low awful avoid and failed extremely After since quality frustrated,Negative,1
Disappointed do absolutely somewhat extremely while with not buy poor,Negative,1
Very horrible somewhat quite very fairly very avoid stopped working,Negative,1
Not do disappointed buy very failed really horrible flawed fairly after after design,Negative,1
Since bad avoid quite very construction after poor extremely regret,Negative,1
Since bad avoid quite very poor extremely construction after regret,Negative,1
Terrible unhappy purchase which and poor construction terrible extremely damaged,Negative,1
Not do buy disappointed very failed really horrible after fairly after flawed design,Negative,1
somewhat Quality low really regret absolutely with avoid stopped working,Negative,1
Disappointed extremely absolutely with do while somewhat not buy poor,Negative,1
Poor but unhappy broke waste quality since which low of money,Negative,1
Design flawed while which unhappy awful extremely not broke very with worth it,Negative,1
Avoid awful unreliable absolutely fairly after absolutely extremely quite dissatisfied,Negative,1
Waste and bad and stopped money very disappointed unreliable of working,Negative,1
damaged unreliable bad do since not buy Somewhat really disappointed,Negative,1
Damaged cheap terrible quite with materials after waste of money,Negative,1
Poor fairly really construction extremely quite absolutely broke very regret,Negative,1
Avoid very flawed but design after unhappy poor with damaged,Negative,1
Damaged awful cheap money materials quite waste with and of with somewhat disappointed,Negative,1
that unreliable defective somewhat and really bad Extremely very disappointed,Negative,1
somewhat fairly cheap and after Materials awful not worth it,Negative,1
Extremely very somewhat quite absolutely very somewhat unhappy terrible failed,Negative,1
Working stopped which bad somewhat of money after waste cheap materials really unhappy,Negative,1
Defective after unhappy waste of money and fairly terrible unreliable,Negative,1
Absolutely defective frustrated absolutely it worth with not really horrible,Negative,1
Terrible damaged extremely which and poor construction terrible purchase unhappy,Negative,1
Of waste money construction poor which horrible really defective frustrated,Negative,1
Waste and terrible of while somewhat somewhat money poor construction,Negative,1
Disappointed terrible working do not buy and very stopped that,Negative,1
Stopped absolutely working somewhat regret absolutely avoid and unreliable awful,Negative,1
But it broke worth not really unhappy extremely unreliable bad,Negative,1
Awful regret damaged unreliable worth not after somewhat somewhat it,Negative,1
Terrible after purchase dissatisfied very absolutely low quality while awful,Negative,1
really quality waste of but money awful somewhat stopped working but Low unhappy,Negative,1
Horrible materials cheap extremely which unhappy do somewhat not buy,Negative,1
Very quite failed not really worth somewhat since it awful,Negative,1
Very defective absolutely poor really unreliable quite but fairly disappointed,Negative,1
Broke absolutely horrible with flawed after avoid design that regret,Negative,1
Poor regret damaged flawed with design and not worth it,Negative,1
Defective quite extremely really fairly very quite dissatisfied poor construction,Negative,1
Dissatisfied and awful while but terrible flawed defective purchase design,Negative,1
regret really quite somewhat fairly working fairly terrible extremely Stopped,Negative,1
absolutely extremely fairly Somewhat absolutely quite avoid very failed poor,Negative,1
Working purchase disappointed cheap materials very horrible that terrible stopped,Negative,1
Fairly working avoid somewhat quite stopped quite fairly really unhappy,Negative,1
Bad quite cheap while materials while extremely extremely quite defective,Negative,1
Bad stopped which after really working while really flawed design,Negative,1
Disappointed terrible that do working buy and very stopped not,Negative,1
Very really somewhat absolutely somewhat broke awful very extremely dissatisfied,Negative,1
Poor frustrated really poor since avoid since really but construction,Negative,1
